merged,gen,predicted.value,weight
BLUE_ID_2018_2,68,1.7206974134,0.9839628592
BLUE_ID_2018_2,69,4.7090321932,0.9839628592
BLUE_ID_2018_2,70,3.6190321932,0.9839628592
BLUE_ID_2018_2,71,3.1413113724,0.9839628592
BLUE_ID_2018_2,72,2.5670802908,0.9839628592
BLUE_ID_2018_2,73,1.8755164173,0.9839628592
BLUE_ID_2018_2,74,1.4290321932,0.9839628592
BLUE_ID_2018_2,75,2.8006974134,0.9839628592
BLUE_ID_2018_2,76,3.1394608166,0.9839628592
BLUE_ID_2018_2,77,2.5554990595,0.9821318653
BLUE_ID_2018_2,78,4.0370802908,0.9839628592
BLUE_ID_2018_2,79,3.3455164173,0.9839628592
BLUE_ID_2018_2,80,2.7670802908,0.9839628592
BLUE_ID_2018_2,81,1.5053657973,0.9839628592
BLUE_ID_2018_2,82,1.4654990595,0.9821318653
BLUE_ID_2018_2,83,1.8190321932,0.9839628592
BLUE_ID_2018_2,84,3.1063070329,0.9839628592
BLUE_ID_2018_2,85,3.7255164173,0.9839628592
BLUE_ID_2018_2,86,3.7290321932,0.9839628592
BLUE_ID_2018_2,87,4.6794608166,0.9839628592
BLUE_ID_2018_2,88,2.2113113724,0.9839628592
BLUE_ID_2018_2,89,3.5655164173,0.9839628592
BLUE_ID_2018_2,90,1.6606974134,0.9839628592
BLUE_ID_2018_2,91,5.8170802908,0.9839628592
BLUE_ID_2018_2,92,4.5606974134,0.9839628592
BLUE_ID_2018_2,93,3.1413113724,0.9839628592
BLUE_ID_2018_2,94,1.8663070329,0.9839628592
BLUE_ID_2018_2,95,3.1554990595,0.9821318653
BLUE_ID_2018_2,96,3.1790321932,0.9839628592
BLUE_ID_2018_2,97,3.1494608166,0.9839628592
BLUE_ID_2018_2,98,5.5654990595,0.9821318653
BLUE_ID_2018_2,99,3.3363070329,0.9839628592
BLUE_ID_2018_2,100,2.7506974134,0.9839628592
BLUE_ID_2018_2,101,2.9354990595,0.9821318653
BLUE_ID_2018_2,102,2.5406974134,0.9839628592
BLUE_ID_2018_2,103,2.1970802908,0.9839628592
BLUE_ID_2018_2,104,3.3070802908,0.9839628592
BLUE_ID_2018_2,105,NA,NA
BLUE_ID_2018_2,106,3.6690321932,0.9839628592
BLUE_ID_2018_2,107,3.9613113724,0.9839628592
BLUE_ID_2018_2,108,3.1406974134,0.9839628592
BLUE_ID_2018_2,109,2.6506974134,0.9839628592
BLUE_ID_2018_2,110,3.5270802908,0.9839628592
BLUE_ID_2018_2,111,5.3394608166,0.9839628592
BLUE_ID_2018_2,112,3.3590321932,0.9839628592
BLUE_ID_2018_2,113,3.7913113724,0.9839628592
BLUE_ID_2018_2,114,4.2953657973,0.9839628592
BLUE_ID_2018_2,115,5.6890321932,0.9839628592
BLUE_ID_2018_2,116,4.3054990595,0.9821318653
BLUE_ID_2018_2,117,3.2553657973,0.9839628592
BLUE_ID_2018_2,118,4.1790321932,0.9839628592
BLUE_ID_2018_2,119,4.1155164173,0.9839628592
BLUE_ID_2018_2,120,3.4106974134,0.9839628592
BLUE_ID_2018_2,121,3.2390321932,0.9839628592
BLUE_ID_2018_2,122,3.2355164173,0.9839628592
BLUE_ID_2018_2,123,3.1790321932,0.9839628592
BLUE_ID_2018_2,124,6.5454990595,0.9821318653
BLUE_ID_2018_2,125,5.2555164173,0.9839628592
BLUE_ID_2018_2,126,4.7706974134,0.9839628592
BLUE_ID_2018_2,127,1.9906974134,0.9839628592
BLUE_ID_2018_2,128,6.1654990595,0.9821318653
BLUE_ID_2018_2,129,2.8794608166,0.9839628592
BLUE_ID_2018_2,130,3.6870802908,0.9839628592
BLUE_ID_2018_2,131,5.0390321932,0.9839628592
