merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2019_2,WA,5,12,10512,23,23,1,2019,2,2.3,NA,17.7,3.44,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,13,10513,99,24,4,2019,2,2.5,NA,16,2.38,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,14,10514,202,24,3,2019,2,2.7,18.62,16.3,3.89,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,15,10515,67,24,2,2019,2,2.9,NA,16.4,2.73,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,16,10516,138,24,1,2019,2,2.2,NA,14.7,2.46,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,17,10517,130,25,4,2019,2,2.5,NA,15.3,2.23,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,18,10518,87,25,3,2019,2,2.2,NA,16.7,2.73,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,19,10519,161,25,2,2019,2,2.5,NA,14.3,2.87,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,20,10520,106,25,1,2019,2,2.4,NA,16.1,3.55,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,6,1,10601,188,26,4,2019,2,2.2,NA,18.7,3.48,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,2,10602,151,26,3,2019,2,2.5,NA,16.8,3.48,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,3,10603,19,26,2,2019,2,1.9,NA,16.7,2.84,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,4,10604,202,26,1,2019,2,2.5,17.66,16.7,3.78,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,5,10605,154,27,4,2019,2,2.6,NA,16.8,2.98,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,6,10606,5,27,3,2019,2,2.5,NA,20.8,3.69,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,7,10607,80,27,2,2019,2,2.5,NA,19.5,3.4,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,8,10608,176,27,1,2019,2,2.5,NA,16.5,3.74,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,9,10609,183,28,4,2019,2,2.1,NA,17.7,3.3,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,10,10610,117,28,3,2019,2,2.4,NA,16.3,3.35,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,11,10611,118,28,2,2019,2,2.1,NA,13.8,2.89,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,12,10612,79,28,1,2019,2,2.6,NA,12.7,2.15,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,13,10613,201,29,4,2019,2,2.3,18.95,14.3,2.22,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,14,10614,46,29,3,2019,2,1.6,NA,8.2,1.47,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,15,10615,113,29,2,2019,2,2.4,NA,15.2,3.01,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,16,10616,25,29,1,2019,2,2.7,NA,20.3,4.34,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,17,10617,71,30,4,2019,2,2,NA,13.8,2.04,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,18,10618,41,30,3,2019,2,2.3,NA,16,3.39,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,19,10619,95,30,2,2019,2,2.5,NA,15.2,3.35,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,6,20,10620,171,30,1,2019,2,2,NA,16.3,3.87,NA,2.22,3.78,14.3,16.7,18.95,17.66,2.3,2.5
WA_2019_2,WA,7,1,10701,38,31,4,2019,2,2.1,NA,12.3,2.13,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,2,10702,202,31,3,2019,2,2.5,20.37,16.5,4.28,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,3,10703,150,31,2,2019,2,2.5,NA,17.2,4.15,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,4,10704,143,31,1,2019,2,2.1,NA,16.3,3.37,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,5,10705,72,32,4,2019,2,2,NA,14,2.07,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,6,10706,11,32,3,2019,2,2.1,NA,14.3,2.75,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,7,10707,135,32,2,2019,2,2.2,NA,13.8,2.78,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,8,10708,54,32,1,2019,2,2.5,NA,22.8,3.88,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,9,10709,27,33,4,2019,2,1.4,NA,12.8,2.75,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,10,10710,45,33,3,2019,2,1.9,NA,14,2,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,11,10711,64,33,2,2019,2,2.7,NA,16.8,1.52,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,12,10712,163,33,1,2019,2,2.4,NA,14.7,3.88,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,13,10713,8,34,4,2019,2,1.2,NA,8.7,0.64,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,14,10714,51,34,3,2019,2,1.9,NA,13.7,1.68,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,15,10715,201,34,2,2019,2,2.4,19.95,15.3,2.49,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,16,10716,192,34,1,2019,2,2.3,NA,18.5,4.22,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,17,10717,18,35,4,2019,2,2.1,NA,14.3,1.28,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,18,10718,129,35,3,2019,2,2.3,NA,15.5,4.31,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,19,10719,74,35,2,2019,2,1.4,NA,11,2.34,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
WA_2019_2,WA,7,20,10720,70,35,1,2019,2,2.6,NA,23.2,3.44,NA,2.49,4.28,15.3,16.5,19.95,20.37,2.4,2.5
