merged,Location,block,Position,ID,id,row,col,Year,Cut,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy_cm,MSC_201,DM_201,Height_201,Yield_201,FD_201,MSC_202,DM_202,Height_202,Yield_202,FD_202
WA_2020_4,WA,4,12,10412,94,18,1,2020,4,4.1,NA,27.6,5.37,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,13,10413,201,19,4,2020,4,4.2,NA,20.6,5.02,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,14,10414,190,19,3,2020,4,4,NA,31.4,4.96,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,15,10415,68,19,2,2020,4,4,NA,22.8,4.03,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,16,10416,196,19,1,2020,4,4.1,NA,27.8,5.41,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,17,10417,100,20,4,2020,4,4.1,NA,27.4,3.96,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,18,10418,120,20,3,2020,4,4.7,NA,25.7,3.4,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,19,10419,61,20,2,2020,4,4.555555556,NA,22.2,3.97,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,20,10420,179,20,1,2020,4,3.9,NA,26.8,4.64,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,5,1,10501,124,21,4,2020,4,4,NA,27.7,3.83,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,2,10502,174,21,3,2020,4,4.1,NA,26.8,4.15,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,3,10503,128,21,2,2020,4,3.4,NA,26.3,3.83,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,4,10504,103,21,1,2020,4,4.1,NA,25.9,4.8,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,5,10505,181,22,4,2020,4,3.8,NA,25.5,4.98,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,6,10506,108,22,3,2020,4,4.1,NA,27.4,3.72,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,7,10507,14,22,2,2020,4,3.9,NA,29.1,3.72,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,8,10508,201,22,1,2020,4,4.2,NA,22.6,4.28,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,9,10509,127,23,4,2020,4,3.8,NA,19,4.74,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,10,10510,17,23,3,2020,4,3.7,NA,20.3,2.92,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,11,10511,172,23,2,2020,4,3.9,NA,25.2,5.26,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,12,10512,23,23,1,2020,4,3.8,NA,26.9,4.17,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,13,10513,99,24,4,2020,4,4.3,NA,24.4,4.24,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,14,10514,202,24,3,2020,4,4.3,NA,24.5,3.88,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,15,10515,67,24,2,2020,4,4.1,NA,23.9,3.92,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,16,10516,138,24,1,2020,4,4.5,NA,20.5,3.42,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,17,10517,130,25,4,2020,4,4.6,NA,23.2,3.99,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,18,10518,87,25,3,2020,4,4.1,NA,19.6,3.22,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,19,10519,161,25,2,2020,4,4.2,NA,21.4,4.26,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,5,20,10520,106,25,1,2020,4,3.8,NA,25.1,4.01,NA,4.2,NA,22.6,4.28,NA,4.3,NA,24.5,3.88,NA
WA_2020_4,WA,6,1,10601,188,26,4,2020,4,4.4,NA,26.8,4.3,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,2,10602,151,26,3,2020,4,4.181818182,NA,22.8,3.42,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,3,10603,19,26,2,2020,4,4.1,NA,21.9,3.6,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,4,10604,202,26,1,2020,4,4.1,NA,25.2,5.11,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,5,10605,154,27,4,2020,4,4.5,NA,21.3,3.9,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,6,10606,5,27,3,2020,4,4,NA,25.3,3.58,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,7,10607,80,27,2,2020,4,3.8,NA,27.8,3.47,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,8,10608,176,27,1,2020,4,4,NA,28.1,4.58,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,9,10609,183,28,4,2020,4,4.4,NA,23.3,4.33,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,10,10610,117,28,3,2020,4,4,NA,23.6,3.76,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,11,10611,118,28,2,2020,4,3.8,NA,21.1,3.15,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,12,10612,79,28,1,2020,4,4,NA,19.9,3.74,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,13,10613,201,29,4,2020,4,3.9,NA,21.9,4.21,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,14,10614,46,29,3,2020,4,3.3,NA,16.6,3.26,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,15,10615,113,29,2,2020,4,3.8,NA,18.4,2.83,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,16,10616,25,29,1,2020,4,4.6,NA,22.4,3.87,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,17,10617,71,30,4,2020,4,3,NA,20.5,4.19,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,18,10618,41,30,3,2020,4,3.7,NA,17.2,3.38,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,19,10619,95,30,2,2020,4,4.6,NA,20.7,3.13,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,6,20,10620,171,30,1,2020,4,3.8,NA,25.2,4.96,NA,3.9,NA,21.9,4.21,NA,4.1,NA,25.2,5.11,NA
WA_2020_4,WA,7,1,10701,38,31,4,2020,4,4,NA,19.2,4.19,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,2,10702,202,31,3,2020,4,3.5,NA,21.4,4.52,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,3,10703,150,31,2,2020,4,3.7,NA,20.9,3.72,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,4,10704,143,31,1,2020,4,4,NA,23.3,3.72,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,5,10705,72,32,4,2020,4,3.5,NA,21.7,4.03,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,6,10706,11,32,3,2020,4,3.8,NA,19.7,3.47,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,7,10707,135,32,2,2020,4,3.6,NA,18.2,2.56,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,8,10708,54,32,1,2020,4,3.8,NA,28.9,3.96,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,9,10709,27,33,4,2020,4,2.7,NA,18.6,3.72,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,10,10710,45,33,3,2020,4,4,NA,22,3.1,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,11,10711,64,33,2,2020,4,3.9,NA,18.3,2.22,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
WA_2020_4,WA,7,12,10712,163,33,1,2020,4,3.5,NA,23.2,4.24,NA,3.6,NA,20.9,3.4,NA,3.5,NA,21.4,4.52,NA
