gen,ST0_MS_ID_2018_1,ST0_MS_ID_2019_1,ST0_MS_OR_2018_1,ST0_MS_OR_2019_1,ST0_MS_OR_2020_1,ST0_MS_WA_2018_1,ST0_MS_WA_2019_1,ST0_MS_WA_2019_2,ST0_MS_WA_2020_1,ST0_MS_WA_2020_2,ST0_MS_WA_2020_3,ST0_MS_WA_2020_4,ST0_MS_WA_2020_5,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5,ST3_MS_ID,ST3_MS_OR,ST3_MS_WA,ST4_MS,ST0_DM_ID_2018_1,ST0_DM_ID_2019_1,ST0_DM_OR_2018_1,ST0_DM_OR_2019_1,ST0_DM_OR_2020_1,ST0_DM_WA_2018_1,ST0_DM_WA_2019_1,ST0_DM_WA_2020_1,ST1_DM_ID_2018_1,ST1_DM_ID_2019_1,ST1_DM_OR_2018_1,ST1_DM_OR_2019_1,ST1_DM_OR_2020_1,ST1_DM_WA_2018_1,ST1_DM_WA_2019_1,ST1_DM_WA_2020_1,ST3_DM_ID,ST3_DM_OR,ST3_DM_WA,ST4_DM,ST0_PH_ID_2019_1,ST0_PH_OR_2018_1,ST0_PH_OR_2019_1,ST0_PH_OR_2019_2,ST0_PH_OR_2019_4,ST0_PH_OR_2020_2,ST0_PH_OR_2020_3,ST0_PH_WA_2018_1,ST0_PH_WA_2018_3,ST0_PH_WA_2019_1,ST0_PH_WA_2019_2,ST0_PH_WA_2019_3,ST0_PH_WA_2019_4,ST0_PH_WA_2019_5,ST0_PH_WA_2020_1,ST0_PH_WA_2020_2,ST0_PH_WA_2020_3,ST0_PH_WA_2020_4,ST0_PH_WA_2020_5,ST1_PH_ID_2019_1,ST1_PH_OR_2018_1,ST1_PH_OR_2019_1,ST1_PH_OR_2019_2,ST1_PH_OR_2019_4,ST1_PH_OR_2020_2,ST1_PH_OR_2020_3,ST1_PH_WA_2018_1,ST1_PH_WA_2018_3,ST1_PH_WA_2019_1,ST1_PH_WA_2019_2,ST1_PH_WA_2019_3,ST1_PH_WA_2019_4,ST1_PH_WA_2019_5,ST1_PH_WA_2020_1,ST1_PH_WA_2020_2,ST1_PH_WA_2020_3,ST1_PH_WA_2020_4,ST1_PH_WA_2020_5,ST3_PH_ID,ST3_PH_OR,ST3_PH_WA,ST4_PH,ST0_Yi_ID_2018_1,ST0_Yi_ID_2018_2,ST0_Yi_ID_2018_3,ST0_Yi_ID_2019_1,ST0_Yi_ID_2019_2,ST0_Yi_ID_2019_3,ST0_Yi_ID_2019_4,ST0_Yi_OR_2018_1,ST0_Yi_OR_2018_2,ST0_Yi_OR_2018_3,ST0_Yi_OR_2019_1,ST0_Yi_OR_2019_2,ST0_Yi_OR_2019_3,ST0_Yi_OR_2019_4,ST0_Yi_OR_2020_1,ST0_Yi_OR_2020_2,ST0_Yi_OR_2020_3,ST0_Yi_OR_2020_4,ST0_Yi_WA_2018_1,ST0_Yi_WA_2018_2,ST0_Yi_WA_2018_3,ST0_Yi_WA_2019_1,ST0_Yi_WA_2019_2,ST0_Yi_WA_2019_3,ST0_Yi_WA_2019_4,ST0_Yi_WA_2019_5,ST0_Yi_WA_2020_1,ST0_Yi_WA_2020_2,ST0_Yi_WA_2020_3,ST0_Yi_WA_2020_4,ST0_Yi_WA_2020_5,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5,ST3_Yi_ID,ST3_Yi_OR,ST3_Yi_WA,ST4_Yi,ST0_R_FD_ID_2019_4,ST0_R_FD_WA_2018_3,ST0_R_FD_WA_2019_5,ST0_R_FD_OR_2018_3,ST0_R_FD_OR_2019_4,ST0_R_FD_OR_2020_4,ST1_R_FD_ID_2019_4,ST1_R_FD_OR_2018_3,ST1_R_FD_OR_2019_4,ST1_R_FD_OR_2020_4,ST1_R_FD_WA_2018_3,ST1_R_FD_WA_2019_5,ST3_R_FD_ID,ST3_R_FD_OR,ST3_R_FD_WA,ST4_R_FD
94,2.349,2.473,2.788,2.802,3.921,4.102,2.844,2.427,3.263,3.165,3.399,3.73,2.14,2.991,3.109,2.304,2.366,3.455,3.809,2.652,2.242,3.125,2.922,3.251,3.555,1.964,2.404,3.162,3.132,3.027,19.817,18.635,24.11,18.162,24.32,23.08,18.938,19.237,19.859,18.564,23.964,18.425,24.185,22.831,18.857,19.27,19.212,22.191,20.319,20.744,27.64,22.987,32.907,30.684,19.063,22.65,25.916,23.663,27.804,31.542,20.1,20.777,18.516,25.027,26.601,21.818,20.759,26.346,15.756,24.208,21.76,31.514,29.311,17.838,21.459,24.861,28.824,30.945,36.074,24.635,25.664,23.739,26.955,31.473,26.339,25.961,31.176,20.346,27.846,25.769,22.728,23.958,4.401,2.264,1.629,9.664,5.51,4.161,3.073,3.403,5.374,2.892,4.525,4.761,4.209,3.948,7.868,3.164,2.777,2.695,4.649,5.111,3.21,6.638,4.527,4.045,3.503,3.585,6.212,4.615,4.021,4.83,2.235,4.397,2.414,1.678,8.888,5.685,4.206,3.267,3.258,5.176,2.741,4.46,4.578,3.936,3.741,7.659,3.038,2.708,2.55,4.651,4.984,3.229,6.523,4.353,4.214,3.598,3.352,6.668,4.74,4.366,4.929,2.278,4.325,4.142,4.334,4.264,4.69,5.184,10.15,36.317,42.287,52.799,15.662,19.237,25.849,32.292,14.083,17.098,6.03,42.843,8.173,25.151
95,2.438,2.543,2.942,3.199,3.857,3.675,2.436,2.334,3.355,2.824,3.896,4.432,2.176,3.075,3.163,2.364,2.723,3.431,3.513,2.33,2.147,3.2,2.658,3.667,4.189,1.968,2.473,3.293,3.152,3.08,21.012,16.71,21.139,20.336,22.48,19.85,16.048,18.373,20.968,16.857,20.844,20.269,22.218,20.143,16.088,18.416,18.912,21.11,18.216,19.475,28.361,21.078,28.902,25.098,17.808,25.265,28.966,22.752,12.076,26.746,15.25,16.612,14.107,15.635,23.429,19.282,18.444,18.139,13.162,24.758,20.955,27.998,24.13,16.733,23.545,27.058,27.376,18.641,30.824,20.266,21.377,19.268,21.026,28.436,23.436,23.11,23.378,17.89,28.395,24.715,17.97,20.649,4.947,4.218,NA,7.791,4.83,5.082,1.355,3.446,4.907,2.319,5.741,3.996,3.211,2.69,5.27,2.792,3.316,2.212,3.754,3.064,1.791,NA,3.612,2.565,2.326,2.443,5.223,3.103,2.605,2.831,0.971,4.514,4.129,2.166,7.651,5.05,5.091,1.672,3.31,4.736,2.228,5.675,3.818,3.261,2.57,5.165,2.55,3.159,2.065,3.946,3.351,2.202,4.673,3.35,2.914,2.548,2.34,5.176,2.836,2.85,3.48,1.237,4.647,3.659,2.9,3.55,9.742,8.131,8.143,29.238,44.3,52.552,18.73,12.445,27.662,32.61,15.559,16.065,9.097,41.29,8.394,24.959
96,1.603,2.384,3.119,3.617,3.732,3.379,2.749,2.79,3.386,2.257,3.817,4.153,1.729,2.351,3.02,2.554,3.106,3.28,3.243,2.593,2.528,3.216,2.212,3.602,3.89,1.582,2.04,3.433,3.051,2.983,18.361,17.16,21.129,22.194,20.138,20.91,16.354,17.389,18.701,17.213,20.886,21.975,20.608,21.075,16.352,17.696,17.957,21.156,18.374,19.313,30.171,26.583,32.974,25.468,20.013,19.193,27.913,22.233,20.169,26.668,15.3,17.354,15.22,16.571,26.54,16.789,18.459,20.9,9.823,26.273,23.73,31.52,24.6,18.669,18.367,26.374,27.536,24.504,31.876,20.272,21.934,20.114,21.444,30.484,21.792,23.313,25.955,15.518,29.911,25.188,18.779,21.389,2.566,2.938,2.477,7.772,7.08,5.495,4.374,3.863,5.578,1.517,7.741,4.063,3.226,3.565,6.157,2.583,3.628,2.575,4.219,3.302,1.953,5.12,3.212,2.858,2.864,2.155,5.665,2.165,2.599,4.235,1.034,2.798,3.067,2.445,7.717,6.88,5.483,4.214,3.709,5.381,1.624,7.202,3.954,3.328,3.147,6.022,2.46,3.46,2.365,4.35,3.557,2.12,5.263,3.157,2.959,2.723,2.071,5.755,2.497,2.852,4.083,1.045,4.62,4.033,3.145,3.793,8.665,7.44,10.696,39.217,48.044,61.89,18.115,22.152,31.695,40.546,15.894,18.017,8.482,48.515,9.537,28.85
97,1.627,2.048,2.502,3.381,3.825,3.642,3.177,1.338,4.152,2.727,3.726,4.007,1.982,2.32,2.738,2.055,2.897,3.373,3.471,2.91,1.24,3.838,2.544,3.548,3.803,1.729,1.883,3.229,3.078,2.929,20.121,15.845,19.33,20.369,21.649,21.597,15.215,16.97,20.152,16.053,19.339,20.325,21.623,21.55,15.244,17.107,18.102,20.429,17.967,18.924,31.401,23.904,28.889,20.735,12.115,21.378,19.73,18.334,20.767,24.386,11.23,13.805,16.284,14.384,21.813,15.571,17.601,20.97,11.753,27.295,21.962,27.548,19.51,10.863,19.972,18.957,23.833,24.414,29.069,17.046,18.925,20.471,19.812,26.773,20.444,22.245,25.744,16.809,30.933,21.114,17.183,19.148,3.064,3.569,1.532,7.556,5.513,3.858,2.596,3.419,5.745,2.486,7.638,3.032,3.384,2.346,7.496,2.227,2.496,1.338,4.547,4.713,2.535,2.271,1.001,2.782,2.225,2.412,4.995,1.624,2.719,4.689,1.024,3.083,3.567,1.567,7.522,5.575,3.92,2.631,3.277,5.544,2.314,7.396,2.92,3.275,2.18,7.239,1.901,2.401,1.199,4.477,4.454,2.011,2.915,1.423,2.875,2.401,2.117,5.197,2.041,2.701,4.263,1.021,3.943,3.76,2.796,3.397,8.054,5.645,8.984,22.096,33.384,23.692,17.08,5.173,15.493,8.957,13.664,15.872,7.448,26.925,7.35,17.154
99,2.936,2.523,2.63,3.194,3.579,3.658,3.164,2.491,3.858,3.073,4.211,3.904,2.701,3.513,3.142,2.238,2.74,3.227,3.498,2.961,2.319,3.531,2.883,3.899,3.693,2.459,2.681,3.188,3.348,3.208,22.393,15.567,17.341,16.943,19.823,22.188,16.586,17.57,22.113,15.77,17.571,17.054,19.942,22.086,16.566,17.609,18.942,18.189,18.754,18.589,27.897,26.338,34.515,18.227,8.701,13.754,27.326,18.255,11.84,26.069,15.05,14.215,18.057,15.877,24.403,15.604,18.329,23.759,15.076,24.32,23.615,32.042,18.51,9.071,12.933,25.45,24.366,18.37,30.261,19.969,19.588,21.928,20.928,28.405,20.707,22.733,28.39,19.43,27.958,21.582,17.974,19.638,2.737,3.424,0.962,7.517,4.727,5.025,1.024,4.473,4.758,1.222,6.852,3.01,4.127,2.171,5.941,1.643,3.472,1.619,NA,3.623,1.818,4.504,1.952,3.423,2.004,1.931,7.537,3.862,4.041,4.52,1.609,2.868,3.433,1.052,7.53,5.061,5.034,1.389,4.298,4.632,1.171,6.475,2.911,3.705,2.057,5.807,1.527,3.277,1.431,4.176,3.854,2.233,4.651,2.359,3.514,2.556,2.661,7.046,3.551,3.462,4.584,1.595,3.729,3.546,3.387,3.525,4.547,12.076,12.155,15.911,28.025,27.259,14.94,-0.87,10.858,10.246,18.471,17.996,5.307,23.795,10.816,16.387
100,2.355,2.608,2.405,3.077,4.214,4.008,2.773,2.306,3.204,2.401,3.904,3.736,NA,2.987,3.218,1.917,2.605,3.676,3.773,2.567,2.098,3.058,2.261,3.703,3.566,1.612,2.457,3.186,3.196,3.07,20.737,14.649,16.6,18.189,19.433,22.435,15.522,18.687,20.677,15.027,17.031,18.22,19.744,22.22,15.592,18.561,17.852,18.332,18.791,18.384,27.947,29.667,30.865,20.473,15.762,21.501,25.707,19.97,20.808,24.24,9.602,19.144,9.203,14.855,21.36,11.781,13.335,27.413,NA,24.396,25.29,29.597,19.906,14.454,20.093,24.116,25.281,24.053,29.307,15.531,23.143,14.605,19.435,27.205,17.628,19.22,32.002,15.187,28.034,23.554,17.542,20.129,0.887,1.025,0.071,6.898,5.508,5.261,2.204,4.271,4.762,2.472,6.746,4.036,3.876,2.335,6.165,2.245,3.114,1.7,2.709,2.517,1.801,3.161,1.267,3.068,1.658,1.699,4.63,1.63,2.864,3.387,0.146,1.453,1.473,0.28,7.011,5.636,5.272,2.366,4.101,4.646,2.275,6.547,3.85,3.563,2.199,6.011,2.016,2.958,1.541,3.124,2.844,1.868,3.656,1.695,2.855,1.965,1.931,4.862,1.901,2.508,3.665,0.509,3.319,3.766,2.449,3.113,5.839,11.068,7.587,15.848,41.486,60.168,15.973,-0.82,25.151,36.33,17.005,15.368,6.341,37.271,8.769,22.615
101,1.905,2.422,2.779,3.523,3.824,3.676,2.738,2.732,2.953,3.031,3.916,4.152,1.93,2.63,3.057,2.286,3.021,3.367,3.481,2.572,2.503,2.881,2.811,3.687,3.916,1.787,2.198,3.345,3.147,3.047,18.918,17.618,19.763,22.217,21.297,20.083,16.121,18.417,19.123,17.601,19.835,22.011,21.422,20.463,16.186,18.475,18.362,21.089,18.375,19.389,31.396,27.753,29.573,28.637,19.425,22.424,25.196,20.961,19.839,27.106,12.501,18.102,15.564,17.974,23.935,18.516,21.971,22.68,11.723,27.282,24.77,28.459,27.033,18.206,21.241,24.079,26.656,24.491,31.963,18.409,22.794,20.603,22.572,29.174,23.308,25.499,27.614,17.169,30.92,25.276,19.238,21.76,3.045,4.32,2.448,5.952,5.193,4.465,2.138,4.28,5.768,2.885,6.612,4.44,3.656,3.401,5.983,3.036,4.071,2.786,4.436,3.152,1.979,4.924,3.02,3.047,2.769,2.38,6.58,2.956,3.486,5.043,1.445,3.133,4.217,2.469,6.268,5.468,4.514,2.517,4.113,5.528,2.745,6.361,4.279,3.597,3.13,5.836,2.87,3.864,2.594,4.483,3.471,2.439,5.104,3.184,3.304,2.878,2.573,6.415,3.207,3.334,4.495,1.558,4.046,4.239,3.454,3.866,6.207,9.447,12.697,42.54,47.978,40.609,16.897,25.415,30.575,25.405,17.726,19.336,7.265,44.182,11.113,27.006
103,2.8,2.68,2.365,2.651,4.059,3.672,2.942,2.332,3.824,3.081,3.783,3.73,1.747,3.339,3.311,1.939,2.228,3.558,3.522,2.715,2.13,3.59,2.856,3.598,3.559,1.567,2.679,3.028,3.135,3.04,21.002,20.243,18.252,20.19,24.803,22.089,17.129,18.978,20.989,19.981,18.587,20.22,24.162,22.017,17.145,18.994,20.485,20.99,19.385,20.262,24.723,27.574,35.937,31.995,21.683,27.312,32.354,26.245,22.714,30.778,16.229,16.29,15.918,17.605,27.678,22.346,20.783,24.144,13.108,21.879,24.513,34.405,30.531,20.588,25.883,30.645,30.946,26.908,35.583,21.311,21.52,20.974,22.763,32.469,26.138,25.481,29.15,17.616,25.517,29.072,20.955,23.759,2.155,3.086,2.147,7.177,5.991,5.663,4.436,4.202,4.738,3.063,7.457,5.291,3.7,3.449,6.967,3.885,4.114,3.304,5.16,4.753,2.973,6.264,3.171,3.706,3.34,2.625,7.549,3.889,3.614,5.039,1.404,2.239,3.169,2.189,7.346,6.29,5.687,4.433,4.041,4.668,2.964,7.079,5.117,3.781,3.343,6.794,3.653,3.94,3.098,5.146,4.8,2.967,6.308,3.442,3.808,3.307,2.769,7.484,4.104,3.891,4.811,1.552,4.442,4.563,4.065,4.327,8.643,14.46,12.109,37.042,55.277,49.592,18.487,20.064,37.875,33.165,21.163,19.441,8.855,47.418,12.884,29.48
104,2.317,2.482,2.508,2.531,4.121,3.903,2.871,2.01,3.275,2.533,3.362,4.212,2.765,2.97,3.123,2.019,2.115,3.584,3.665,2.671,1.852,3.107,2.411,3.215,4.003,2.356,2.4,3.026,3.102,2.977,21.37,17.2,22.012,20.728,20.244,23.976,17.715,17.76,21.317,17.238,21.662,20.654,20.6,23.472,17.699,17.904,19.278,20.972,19.692,20.068,28.098,26.967,30.966,32.105,24.99,23.725,29.421,23.355,24.399,31.45,17.501,19.533,18.573,17.502,24.353,15.744,17.946,24.073,17.565,24.612,24.715,29.725,30.149,23.609,22.594,27.91,28.393,28.219,34.621,22.599,24.377,23.452,23.423,29.576,21.445,23.909,29.006,21.843,28.25,27.762,20.956,23.489,3.345,4.455,1.724,7.999,7.566,4.024,2.754,3.974,4.357,3.588,6.722,5.18,4.38,3.428,4.964,2.71,3.096,3.092,5.234,4.388,2.867,6.439,4.36,3.547,3.478,2.977,5.371,3.514,3.983,5.357,3.594,3.382,4.417,1.773,7.715,7.103,4.077,3.033,3.817,4.283,3.357,6.362,4.944,4.047,3.265,4.902,2.758,3.006,2.905,5.079,4.474,3.018,6.511,4.267,3.824,3.471,3.041,5.857,3.949,3.968,4.902,3.213,4.463,4.124,4.156,4.214,14.821,20.711,10.968,43.978,63.213,68.203,22.274,26.968,46.411,48.289,25.712,19.789,12.642,57.606,15.333,36.021
105,NA,NA,1.576,3.298,4.028,3.252,2.804,2.49,3.311,2.437,3.596,3.782,2.321,2.909,2.999,1.314,2.819,3.535,3.094,2.605,2.271,3.113,2.284,3.411,3.598,2.094,NA,3.009,3.001,3.003,NA,NA,18.622,17.201,18.192,19.396,15.817,17.898,NA,NA,18.666,17.284,18.837,19.518,15.822,17.859,NA,18.262,17.733,17.998,NA,27.724,39.755,23.919,22.854,14.537,26.627,22.831,21.492,21.463,20.213,17.766,12.838,21.351,21.924,16.68,17.188,20.401,13.987,25.185,25.328,36.468,23.192,21.415,13.986,25.284,27.186,25.413,27.239,24.237,22.51,18.277,23.742,27.12,21.767,22.507,25.368,19.072,NA,25.59,18.754,21.033,NA,NA,NA,NA,NA,NA,NA,3.731,4.895,2.934,6.831,4.925,4.3,3.873,7.072,3.12,3.83,3.079,4.831,5.094,2.829,6.874,3.349,3.218,2.932,2.448,6.781,3.506,3.622,4.327,1.077,3.332,3.562,2.372,7.685,6.779,5.114,4.098,3.582,4.784,2.834,6.642,4.775,4.074,3.54,6.897,3.012,3.674,2.892,4.852,5.006,2.782,6.942,3.502,3.523,3.003,2.585,6.854,3.738,3.642,4.459,1.251,NA,4.402,3.892,4.126,NA,11.735,11.198,42.665,52.151,53.874,18.47,25.576,35.173,35.877,19.099,18.773,NA,49.259,11.518,34.163
106,2.426,2.593,2.464,2.855,3.746,3.73,2.76,2.248,3.741,2.54,4.235,3.439,1.105,3.043,3.192,2.023,2.406,3.336,3.528,2.591,2.037,3.52,2.364,4.004,3.272,0.98,2.472,3.042,2.98,2.916,21.392,17.981,20.643,20.462,21.936,23.994,17.078,18.706,21.288,17.911,20.598,20.435,21.919,23.579,17.117,18.735,19.599,20.984,19.81,20.198,34.073,23.461,40.633,31.057,21.842,30.87,33.549,27.01,14.252,31.11,15.128,15.798,14.617,16.188,26.828,19.155,17.775,23.161,10.639,29.764,22.224,38.481,29.868,20.618,29.19,31.843,31.534,20.559,35.83,20.122,20.817,19.587,21.239,32.355,23.695,23.238,28.203,15.293,33.402,30.016,19.423,23.504,2.899,3.776,2.409,6.558,4.664,5.845,2.787,3.948,5.39,2.751,7.623,5.152,3.804,3.774,6.637,4.528,4.527,3.318,4.998,3.535,1.848,5.766,3.545,3.126,2.94,1.837,5.955,2.954,2.699,4.266,1.376,3.069,3.778,2.482,6.662,5.28,5.823,3.043,3.795,5.215,2.713,7.183,4.983,3.779,3.51,6.463,4.207,4.328,3.149,4.974,3.752,2.347,5.786,3.597,3.157,2.883,2.278,5.927,3.101,3.088,4.064,1.441,4.268,4.64,3.45,4.057,4.988,12.47,12.761,36.957,58.532,58.473,15.799,19.961,41.404,40.24,19.463,19.549,6.167,50.919,12.088,30.517
107,2.337,2.224,1.913,3.208,3.762,3.815,3.268,2.3,3.061,3.175,3.018,3.961,2.946,2.985,2.89,1.668,2.748,3.316,3.527,3.036,2.164,2.931,2.932,2.914,3.734,2.644,2.292,3.031,3.178,3.007,21.445,18.496,19.925,22.05,23.775,24.35,18.784,19.127,21.387,18.433,20.072,21.956,23.451,23.788,18.733,19.239,19.91,21.827,20.587,20.882,22.82,26.812,30.995,29.015,26.704,26.077,27.948,24,23.349,28.376,21.6,23.889,22.551,21.058,27.012,19.484,21.999,27.97,14.668,20.036,25.01,29.571,27.994,25.408,24.89,26.773,29.012,28.135,33.744,26.094,28.121,27.125,26.394,31.342,25.003,26.957,32.662,20.566,23.673,27.919,22.98,24.576,3.779,3.568,2.793,8.705,7.721,2.983,4.799,3.272,3.072,2.837,6.007,4.611,4.785,4.667,6.893,3.232,3.024,3.033,5.085,4.28,2.919,4.983,5.44,4.644,4.019,3.23,7.721,5.271,4.525,5.52,2.646,3.712,3.604,2.788,8.531,7.279,3.153,4.727,3.131,3.115,2.74,5.822,4.475,4.296,3.958,6.711,3.137,2.931,2.877,4.927,4.551,3.378,5.177,4.986,4.596,3.968,3.595,7.779,5.364,4.771,5.367,2.59,4.79,4.083,4.577,4.45,14.788,24.862,14.802,42.718,64.64,59.112,23.459,25.755,47.457,42.675,29.345,22.684,13.827,55.679,18.597,36.343
108,2.39,2.483,2.904,3.305,4.616,4.673,2.734,2.325,3.184,2.926,3.757,3.771,1.163,3.035,3.128,2.271,2.815,3.964,4.372,2.54,2.103,3.123,2.725,3.601,3.63,1.052,2.436,3.47,3.086,3.074,21.679,19.021,20.025,20.209,23.446,21.618,17.668,18.55,21.663,18.985,20.083,20.217,23.184,21.624,17.654,18.643,20.324,21.161,19.307,20.256,30.423,25.048,36.518,28.02,26.216,25.322,30.626,25.904,18.099,24.267,15.35,14.911,16.138,15.157,24.727,16.424,18.835,26.002,11.01,26.68,23.522,35.049,27.05,24.709,24.048,29.097,30.115,23.091,30.351,20.468,20.187,20.908,20.847,29.94,21.621,23.706,30.78,16.312,30.318,28.558,19.078,22.663,3.381,3.938,1.997,8.451,6.329,5.024,4.383,4.678,5.537,2.803,6.763,4.525,4.566,3.353,6.676,2.911,3.454,2.834,4.625,4.284,2.651,6.029,2.716,3.032,2.134,1.998,5.819,1.975,2.524,4.004,0.702,3.408,3.922,2.039,8.383,6.433,5.062,4.355,4.501,5.354,2.684,6.636,4.388,4.105,3.119,6.512,2.785,3.32,2.634,4.664,4.283,2.364,6.106,2.901,2.993,2.307,2.018,5.866,2.416,2.844,3.978,0.855,4.763,4.341,3.235,3.972,9.238,9.702,12.352,38.217,66.995,66.312,18.913,21.258,49.795,47.831,17.618,19.479,9.281,56.678,11.13,33.596
109,1.906,2.32,2.267,3.186,4.092,3.777,2.912,2.525,3.492,2.171,3.92,3.739,1.077,2.581,2.974,1.823,2.698,3.562,3.57,2.68,2.287,3.312,2.042,3.728,3.562,0.953,2.132,3.148,2.959,2.875,22.389,20.402,19.23,18.807,21.727,21.027,16.402,19.163,22.131,19.725,19.411,18.921,21.722,21.126,16.51,19.098,20.928,20.018,18.911,19.831,26.498,24.759,23.426,24.389,17.342,19.275,22.753,23.035,10.996,27.416,14.113,14.154,11.857,21.14,23.17,14.897,18.225,20.101,11.225,23.172,22.196,23.143,23.181,15.945,18.124,21.602,27.581,17.722,31.903,19.196,19.329,17.147,23.671,28.325,20.04,22.93,25.092,16.311,26.81,22.01,17.488,19.407,3.096,1.757,1.023,8.503,6.146,5.084,4.491,4.597,5.23,3.168,6.271,4.478,3.168,2.574,6.09,2.256,2.732,2.038,5.237,4.225,1.819,6.779,3.452,3.01,2.183,1.922,6.726,2.078,2.867,3.356,0.524,3.126,2.12,1.161,8.417,6.314,5.118,4.28,4.419,5.098,2.903,6.353,4.305,3.264,2.46,5.988,2.139,2.645,1.867,5.158,4.262,1.974,6.433,3.392,3.039,2.334,2.002,6.646,2.428,2.89,3.891,0.647,4.325,3.923,3.35,3.774,9.396,13.248,9.031,34.329,44.051,43.231,18.425,17.335,26.927,25.885,19.745,17.116,8.792,40.433,11.013,25.353
112,1.883,2.481,2.197,2.43,3.819,3.693,2.955,1.316,3.817,2.321,3.769,4.087,1.43,2.557,3.107,1.75,2.004,3.383,3.488,2.718,1.208,3.541,2.194,3.607,3.872,1.223,2.186,2.832,2.924,2.789,20.208,16.164,21.393,20.45,22.316,21.737,17.244,17.526,20.263,16.432,21.337,20.428,22.272,21.698,17.137,17.813,18.347,21.346,18.883,19.672,27.488,22.037,32.894,22.751,18.093,26.212,28.099,20.161,11.342,25.289,12.2,10.931,5.574,8.083,27.484,16.151,15.871,20.79,11.223,24.057,20.762,31.621,21.569,16.735,24.768,26.394,25.947,17.079,29.565,17.109,16.099,11.815,15.822,30.037,20.313,20.526,25.657,15.001,27.695,24.953,15.465,19.105,1.989,3.019,1.564,7.588,5.992,4.959,2.341,3.367,5.529,2.553,7.773,3.742,3.978,2.486,7.062,1.892,3.599,2.307,4.18,4.071,2.068,5.058,3.192,1.616,1.069,0.991,4.861,1.221,2.059,3.736,0.434,2.438,3.1,1.631,7.602,6.138,4.996,2.532,3.22,5.356,2.397,7.571,3.607,3.682,2.337,6.879,1.845,3.427,2.114,4.284,3.911,1.694,5.098,2.891,2.184,1.524,1.457,4.915,1.473,2.055,3.577,0.446,4.025,4.014,2.613,3.429,9.217,3.791,5.902,29.73,43.746,38.86,17.597,12.701,26.322,22.428,12.008,14.096,7.964,37.534,5.634,21.972
113,2.825,2.466,2.576,2.671,3.92,3.063,2.709,2.249,2.957,2.555,3.996,3.683,2.634,3.419,3.086,2.101,2.253,3.407,2.956,2.521,2.077,2.853,2.428,3.701,3.492,2.382,2.607,3.041,2.994,2.945,22.521,19.115,21.462,20.784,22.782,18.193,17.191,18.677,22.274,18.807,21.256,20.735,22.593,18.413,17.179,18.764,20.541,21.528,18.119,20.003,23.623,23.522,31.402,30.014,21.156,23.211,22.552,21.711,16.088,23.139,15.25,15.832,12.52,17.454,22.987,13.259,17.018,15.814,14.725,20.699,22.267,29.851,27.635,19.622,21.794,21.803,26.338,21.232,27.797,20.243,20.626,17.994,21.197,27.493,19.287,22.152,21.162,19.19,24.337,25.14,17.11,20.026,3.19,3.666,2.201,7.806,6.387,3.534,3.55,3.733,5.171,3.191,5.873,5.122,3.788,3.063,7.109,2.801,3.458,2.405,4.412,3.719,1.674,7.528,3.069,2.275,1.715,2.342,5.762,2.86,2.57,2.531,1.413,3.224,3.668,2.239,7.756,6.408,3.667,3.594,3.59,5.023,2.996,5.994,4.842,3.669,2.898,6.876,2.68,3.32,2.292,4.466,3.846,2.102,7.499,3.089,2.804,2.131,2.047,5.691,2.758,2.792,3.393,1.314,4.328,4.172,3.261,3.825,10.485,8.032,7.156,39.209,49.468,64.926,19.298,22.103,33.432,42.039,15.583,15.817,9.666,49.575,8.282,29.159
