"gen","ID","OR","WA","all"
"115",2.78865834583134,3.12521419672384,2.22017060885511,2.68925896608117
"116",2.9345077648323,0.975930804757918,1.71871307683311,1.57406277280077
"117",3.50844664961014,2.72978175530703,2.7675363714229,2.85720014711428
"118",3.05610026160343,3.56396110953777,2.62711818731312,3.08990545030802
"119",3.67140447350294,2.80286709607998,2.75835494494734,2.90786722808356
"120",3.69090994987914,2.8866114492049,2.27840995662733,2.74085345248226
"121",3.35855834269451,2.7030091767221,3.30807548333084,3.05597318897905
"122",3.60211051858178,3.15647285832861,2.42909811004299,2.90840334624238
"123",3.64339511977282,2.57318750923242,3.32203727793901,3.04700992589816
"124",2.84580767518382,0.581488483088017,2.15804140920827,1.58062819315324
"125",2.51804102501935,-0.0975914130312998,1.68174481535756,1.03864303314259
"126",2.12567809391318,0.490430708598984,2.09863563776538,1.41326816185804
"127",2.71200612502269,1.82451856856673,2.25390139040498,2.13532371456255
"128",3.036990949468,1.81917410374138,2.32158294690567,2.20846601448703
"129",3.32314469510442,2.25562991126232,2.17708379523335,2.40736700322635
"130",2.84661101725456,2.39941716184121,2.72663594879749,2.58302240006219
"131",3.12286225313965,4.65504413825338,2.75384325521307,3.62136063336271
"132",2.39743476023862,1.2838748606495,1.7944875115915,1.66178883956594
"133",2.9836659962694,1.28933029065747,2.9573359956233,2.24623783644453
"134",3.53177456338531,3.08505025026946,2.58685574573439,2.93535607877098
"135",2.16444529642044,1.53062616370783,1.65519346878401,1.67455774198514
"136",2.42945602450533,0.338066004547471,1.41942230270346,1.10027442089402
"137",2.05816181751705,1.15307494647371,1.54341255691914,1.44966061824222
"138",2.98195431773018,1.57169312233262,2.14134470019007,1.9966205141847
"139",3.13951181123695,2.49080522476219,1.76964603779726,2.27440937127361
"140",2.77860639242918,1.41654597741363,2.25735417266548,1.97147240609521
"141",3.43175966943776,6.53734320387101,2.30081867703691,4.2780350445945
"142",2.78237927450691,0.431474104846866,0.850584014719859,0.985477120753475
"143",3.05362639020622,1.95531041006083,3.02576547999942,2.57097915148385
"144",2.67224116259458,3.88612537101535,2.20181096914752,3.12237320232261
"145",4.22759203689092,3.27661674883582,3.59232676860194,3.5477746556006
"146",4.34086532675405,4.6025083726965,5.57507291037485,4.98194416799544
"147",4.05144494502439,3.77719211561792,3.42637577961919,3.66602123296224
"148",3.1126944280202,2.35612991695933,3.31011845337635,2.8730627912896
"149",3.79033397412889,2.35911728827769,2.88567004074572,2.7892422801713
"150",3.71234958874089,3.09779665061825,3.15670923763578,3.21083817907185
"151",3.75750543561551,4.35268386469441,3.45922922861403,3.88474924507726
"152",2.75800542405003,0.657849616116053,2.5428266960167,1.76571919434975
"153",2.9337766094105,2.46390018216692,3.15051928852393,2.82529071735472
"154",3.08121344209374,3.08489348472163,3.26064248719944,3.15968876540813
"155",4.98928012429898,4.56307641475744,3.5982746735243,4.21047619844916
"156",3.88829364089361,4.66545881691485,6.10505711396631,5.17140591907672
"157",4.19685064709686,3.91239831162393,3.52571958672683,3.78731490602131
"158",3.73074100933042,3.66806803843395,5.49412296706192,4.45961628940257
"159",3.51279759033941,3.49799758195302,4.22115885052114,3.81003812682313
"160",4.78137407268063,4.68302307694744,4.82572501048748,4.7582311907122
"161",3.50168645549351,2.65179629716349,3.54919970094971,3.15781063569044
"162",4.61731761985167,4.32724121534158,4.65937600136298,4.51102418142363
"163",3.38332004758728,2.56145615562723,3.43143103112149,3.05171165826192
"164",2.98505793406101,1.70104172965558,2.83134812429028,2.36888964227123
"165",4.70976859740677,4.2220371708552,3.29407987265106,3.89401710398937
"166",6.98903857558541,5.27134916363821,6.00343184353366,5.83048308530014
"167",3.49021597555791,4.28486180459893,3.62663892170003,3.8892454506364
"168",5.86161366843039,5.27003040246344,5.43106158186466,5.4235556602021
"169",4.51536218182601,3.34799349800332,2.67736240839058,3.22734712871538
"170",3.47722717459894,4.08160049144487,4.16666810129903,4.03171899326152
"171",3.06650039595253,3.31450972262608,2.90236415656539,3.10244600478956
"172",3.40770521143773,2.58190976013887,3.19026257732587,2.96060317483314
"173",4.33684103321507,2.66350340022595,2.72285176204458,2.92798664571809
"174",2.86437126227153,3.89013977450699,3.18679197816589,3.44216664575574
"175",3.46304346520784,2.63136032810707,2.95327596073252,2.88813604738951
"176",2.89467296817721,2.69517323036219,3.72156454069182,3.16355518304847
"177",3.50752769091107,3.26014539958314,3.76418721336597,3.51150364710835
"178",3.90944363296932,3.15579873764247,4.07457076364751,3.65722173383418
"179",2.80352005381324,2.79048288199154,3.77057433216601,3.21238452804084
"180",3.51832019383596,4.23527533340671,2.61280461272588,3.43750857603338
"181",3.73446856556189,3.88722903564948,4.42759574275907,4.09699184296964
"182",3.45017924051941,4.29025183613096,2.80997203044995,3.53583583432317
"183",3.39030350327685,4.03748953434544,3.82367730019306,3.85835445111655
"184",3.76200331275717,3.97895470674292,3.58192226030518,3.77780488770021
"185",4.09882780691789,3.31765034318828,4.43517401940651,3.90818584210032
"186",4.10503584158884,3.6083125056109,3.91007755147503,3.80860085897809
"187",3.72536451418583,4.44969132537145,4.37067651382162,4.31235257596644
"188",4.71562972907666,4.06676629259942,4.95489810759156,4.54008898994994
"189",2.63813928089378,3.94521022743248,4.57146741139502,4.02688174248233
"190",4.52243441721747,4.8668626994749,3.4288400328467,4.20136323059747
"191",3.35291812522727,3.22773213340783,3.31755245680889,3.28411027083964
"192",4.23123694228181,4.33396423821099,4.78217071466212,4.51137740012873
"193",4.46187712409267,4.53278121243261,5.14683067981208,4.78581611440381
"194",2.59483721293605,4.46424467941095,3.4337587116009,3.75554962656737
"195",3.37019135221962,3.26381654195499,4.6026122155111,3.85278251780256
"196",3.74186851605598,4.21054853086017,4.39910857954187,4.22440569246602
"197",4.25953203516856,4.98970099120396,4.63685340783023,4.7341707474673
"198",4.6888957208126,4.10581974247519,3.27830226466746,3.83446596317722
"201",2.78069439886945,2.35240033671474,2.52893007354391,2.48924080423505
"202",3.78331087199837,3.81748539805249,3.43964796520918,3.65067299454048
