"gen","loc","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"30","OR",2.12933867964937,0.216880406666045,2.55485778880511,1.70381957049362,"Estimable"
"30","WA",2.03628416775978,0.236980747238184,2.50124012206657,1.571328213453,"Estimable"
"31","ID",2.67424446598345,0.24442622045669,3.15380843020632,2.19468050176058,"Estimable"
"31","OR",0.794646832538432,0.217153221748155,1.22070120457241,0.368592460504456,"Estimable"
"31","WA",1.82131934035519,0.230857021857593,2.27426055248807,1.3683781282223,"Estimable"
"32","ID",3.25190752584485,0.326894033618425,3.89327324491522,2.61054180677449,"Estimable"
"32","OR",2.36920918131647,0.217425436275795,2.7957976379415,1.94262072469145,"Estimable"
"32","WA",4.41649211189063,0.197884711053468,4.80474168803917,4.0282425357421,"Estimable"
"33","ID",2.56084678717419,0.23988339544302,3.03149773393005,2.09019584041833,"Estimable"
"33","OR",0.444966946530344,0.216878430285333,0.870482178029401,0.0194517150312875,"Estimable"
"33","WA",1.32895583305682,0.15986410036082,1.64260901462922,1.01530265148442,"Estimable"
"34","ID",5.59737646953879,0.239880925036441,6.06802256935977,5.12673036971781,"Estimable"
"34","OR",5.00256101625232,0.217481242004926,5.4292589636539,4.57586306885074,"Estimable"
"34","WA",6.72575482243722,0.15966675494098,7.03902081252222,6.41248883235223,"Estimable"
"35","ID",3.27915829703272,0.240791198975018,3.75159035327727,2.80672624078817,"Estimable"
"35","OR",2.31244389848442,0.217920083679508,2.74000285274826,1.88488494422058,"Estimable"
"35","WA",5.09878859367617,0.196793590919518,5.48489739337321,4.71267979397912,"Estimable"
"36","ID",3.06689590593969,0.239955036521981,3.53768741241032,2.59610439946907,"Estimable"
"36","OR",1.62553738589188,0.217055853439105,2.05140072141516,1.19967405036859,"Estimable"
"36","WA",2.14877796641271,0.196735916624415,2.53477360920891,1.76278232361651,"Estimable"
"37","ID",2.66744273416881,0.239955252988344,3.13823466534618,2.19665080299143,"Estimable"
"37","OR",0.80098445660977,0.217108399518389,1.22695088748035,0.375018025739192,"Estimable"
"37","WA",1.36953764257321,0.198084541768215,1.75817928635491,0.980895998791516,"Estimable"
"38","ID",2.70122528909013,0.241233599397469,3.17452533445617,2.22792524372408,"Estimable"
"38","OR",1.24685312770973,0.217043016307502,1.67269127679553,0.821014978623928,"Estimable"
"38","WA",1.70651110240222,0.280169777462396,2.25620388447882,1.15681832032562,"Estimable"
"39","ID",2.47514455165265,0.240004898021704,2.94603388632855,2.00425521697676,"Estimable"
"39","OR",0.278100698771964,0.217042162167016,0.703937172035111,-0.147735774491184,"Estimable"
"39","WA",1.50777197572572,0.208139820653182,1.91614206514812,1.09940188630332,"Estimable"
"40","ID",2.42895942587156,0.239883835846713,2.89961123669895,1.95830761504416,"Estimable"
"40","OR",1.01330290528771,0.218667455218327,1.44232820165361,0.58427760892181,"Estimable"
"40","WA",2.32156423099999,0.159848863564076,2.63518751799465,2.00794094400533,"Estimable"
"41","ID",3.20005586057453,0.239879411331693,3.67069899050854,2.72941273064053,"Estimable"
"41","OR",2.73785089584392,0.216866886027804,3.16334347752294,2.3123583141649,"Estimable"
"41","WA",2.35973018177719,0.159714167418637,2.67308919508897,2.04637116846541,"Estimable"
"42","ID",2.41609425443181,0.23991598887756,2.88680914946885,1.94537935939476,"Estimable"
"42","OR",0.244601893871969,0.217146161729082,0.670642414156621,-0.181438626412683,"Estimable"
"42","WA",0.9871816675874,0.1630848167471,1.3071538910161,0.667209444158704,"Estimable"
"43","ID",2.28058700423445,0.243129212306229,2.75760623995355,1.80356776851534,"Estimable"
"43","OR",0.461764189893919,0.217141980483313,0.887796506579166,0.0357318732086712,"Estimable"
"43","WA",2.05196394685607,0.159669672589424,2.36523566136397,1.73869223234818,"Estimable"
"44","ID",2.58594621341791,0.239962882314583,3.05675311332462,2.1151393135112,"Estimable"
"44","OR",4.23187151305322,0.217087367022452,4.65779667819089,3.80594634791555,"Estimable"
"44","WA",3.36450916041192,0.196912752109386,3.75085175422683,2.97816656659701,"Estimable"
"45","ID",2.66782503762864,0.24115209340303,3.14096516832706,2.19468490693021,"Estimable"
"45","OR",1.98477122173666,0.217190622768177,2.41089897452903,1.55864346894429,"Estimable"
"45","WA",1.89842379340841,0.230758421174977,2.35117155111508,1.44567603570174,"Estimable"
"46","ID",2.61681693146111,0.239983754292931,3.0876647821654,2.14596908075682,"Estimable"
"46","OR",-0.366743935148695,0.216877455999929,0.0587693848035164,-0.792257255100906,"Estimable"
"46","WA",1.61464725996667,0.167123935690102,1.94254423012939,1.28675028980395,"Estimable"
"47","ID",3.1718746731663,0.241848683501543,3.64638151283915,2.69736783349346,"Estimable"
"47","OR",2.92040814602342,0.216915072810527,3.34599527011488,2.49482102193195,"Estimable"
"47","WA",1.9063338556549,0.167742311362586,2.23544407817786,1.57722363313193,"Estimable"
"48","ID",2.71240433746228,0.241130846917893,3.18550278258123,2.23930589234332,"Estimable"
"48","OR",2.28727750467577,0.216882830780326,2.71280136994096,1.86175363941059,"Estimable"
"48","WA",1.90525267149123,0.231916935339674,2.36027343266043,1.45023191032203,"Estimable"
"49","ID",2.9143943125673,0.240829968009799,3.38690243361363,2.44188619152097,"Estimable"
"49","OR",2.20639436614424,0.217089481199854,2.63232367929555,1.78046505299293,"Estimable"
"49","WA",2.14923074659432,0.197201792834752,2.53614043798092,1.76232105520772,"Estimable"
"50","ID",2.97983540517017,0.32669136876697,3.6208034960344,2.33886731430594,"Estimable"
"50","OR",2.12038110068198,0.216913331988921,2.54596480928345,1.69479739208051,"Estimable"
"50","WA",2.32199420170297,0.159897437980839,2.63571279164761,2.00827561175833,"Estimable"
